spot1,spot2,date,amount
DC3,DC5,2021/1/1,3
DC3,DC10,2021/1/1,4
DC5,DC3,2021/1/1,41
DC5,DC9,2021/1/1,3
DC5,DC10,2021/1/1,140
DC7,DC3,2021/1/1,254
DC7,DC5,2021/1/1,203
DC7,DC9,2021/1/1,1086
DC7,DC10,2021/1/1,2
DC9,DC3,2021/1/1,12567
DC9,DC5,2021/1/1,7496
DC9,DC10,2021/1/1,151
DC10,DC3,2021/1/1,4184
DC10,DC5,2021/1/1,3021
DC10,DC9,2021/1/1,332
DC3,DC5,2021/1/2,17
DC3,DC9,2021/1/2,18
DC3,DC10,2021/1/2,7
DC5,DC3,2021/1/2,95
DC5,DC9,2021/1/2,8
DC5,DC10,2021/1/2,343
DC7,DC3,2021/1/2,859
DC7,DC5,2021/1/2,491
DC7,DC9,2021/1/2,3712
DC7,DC10,2021/1/2,3
DC9,DC3,2021/1/2,6365
DC9,DC5,2021/1/2,7557
DC9,DC10,2021/1/2,199
DC10,DC3,2021/1/2,5931
DC10,DC5,2021/1/2,5608
DC10,DC9,2021/1/2,403
DC3,DC5,2021/1/3,5
DC3,DC10,2021/1/3,1
DC5,DC3,2021/1/3,57
DC5,DC9,2021/1/3,4
DC5,DC10,2021/1/3,411
DC7,DC3,2021/1/3,564
DC7,DC5,2021/1/3,382
DC7,DC9,2021/1/3,1125
DC7,DC10,2021/1/3,3
DC9,DC3,2021/1/3,12355
DC9,DC5,2021/1/3,6116
DC9,DC10,2021/1/3,142
DC10,DC3,2021/1/3,5236
DC10,DC5,2021/1/3,4639
DC10,DC9,2021/1/3,235
DC3,DC5,2021/1/4,7
DC3,DC10,2021/1/4,1
DC5,DC3,2021/1/4,69
DC5,DC9,2021/1/4,2
DC5,DC10,2021/1/4,389
DC7,DC3,2021/1/4,757
DC7,DC5,2021/1/4,984
DC7,DC9,2021/1/4,2640
DC7,DC10,2021/1/4,2
DC9,DC3,2021/1/4,9525
DC9,DC5,2021/1/4,15813
DC9,DC10,2021/1/4,146
DC10,DC3,2021/1/4,5414
DC10,DC5,2021/1/4,4582
DC10,DC9,2021/1/4,585
DC3,DC5,2021/1/5,1
DC3,DC10,2021/1/5,6
DC5,DC3,2021/1/5,98
DC5,DC9,2021/1/5,3
DC5,DC10,2021/1/5,437
DC7,DC3,2021/1/5,644
DC7,DC5,2021/1/5,909
DC7,DC9,2021/1/5,2723
DC9,DC3,2021/1/5,11017
DC9,DC5,2021/1/5,5009
DC9,DC10,2021/1/5,971
DC10,DC3,2021/1/5,15592
DC10,DC5,2021/1/5,6287
DC10,DC9,2021/1/5,720
DC3,DC5,2021/1/6,3
DC3,DC10,2021/1/6,3
DC5,DC3,2021/1/6,38
DC5,DC9,2021/1/6,3
DC5,DC10,2021/1/6,261
DC7,DC3,2021/1/6,348
DC7,DC5,2021/1/6,310
DC7,DC9,2021/1/6,2669
DC7,DC10,2021/1/6,6
DC9,DC3,2021/1/6,13402
DC9,DC5,2021/1/6,4575
DC9,DC10,2021/1/6,316
DC10,DC3,2021/1/6,7983
DC10,DC5,2021/1/6,4842
DC10,DC9,2021/1/6,350
DC3,DC5,2021/1/7,11
DC3,DC10,2021/1/7,4
DC5,DC3,2021/1/7,178
